Flamengo; 6; Corinthians; 4
Palmeiras; 2; Corinthians; 4
São Paulo; 6; Corinthians; 5
Atlético Mineiro; 6; Corinthians; 3
Internacional; 2; Corinthians; 0
Fluminense; 1; Corinthians; 3
Botafogo; 0; Corinthians; 5
Fortaleza; 4; Corinthians; 2
Bahia; 3; Corinthians; 4
Santos; 6; Corinthians; 5
Vasco da Gama; 5; Corinthians; 5
Mirassol; 5; Corinthians; 6
RB Bragantino; 4; Corinthians; 0
Grêmio; 4; Corinthians; 2
Juventude; 2; Corinthians; 0
Vitória; 4; Corinthians; 5
Sport; 5; Corinthians; 4
Ceará; 1; Corinthians; 0
Cruzeiro; 1; Corinthians; 0
Palmeiras; 0; Flamengo; 4
São Paulo; 4; Flamengo; 0
Atlético Mineiro; 3; Flamengo; 1
Internacional; 2; Flamengo; 3
Fluminense; 2; Flamengo; 3
Botafogo; 5; Flamengo; 1
Fortaleza; 6; Flamengo; 2
Bahia; 1; Flamengo; 0
Santos; 1; Flamengo; 1
Vasco da Gama; 5; Flamengo; 2
Mirassol; 1; Flamengo; 0
RB Bragantino; 2; Flamengo; 3
Grêmio; 4; Flamengo; 4
Juventude; 0; Flamengo; 4
Vitória; 4; Flamengo; 2
Sport; 1; Flamengo; 0
Ceará; 2; Flamengo; 4
Cruzeiro; 4; Flamengo; 5
São Paulo; 4; Palmeiras; 2
Atlético Mineiro; 5; Palmeiras; 5
Internacional; 5; Palmeiras; 2
Fluminense; 1; Palmeiras; 6
Botafogo; 4; Palmeiras; 6
Fortaleza; 2; Palmeiras; 3
Bahia; 3; Palmeiras; 4
Santos; 3; Palmeiras; 6
Vasco da Gama; 0; Palmeiras; 1
Mirassol; 5; Palmeiras; 1
RB Bragantino; 6; Palmeiras; 4
Grêmio; 5; Palmeiras; 5
Juventude; 5; Palmeiras; 0
Vitória; 3; Palmeiras; 5
Sport; 4; Palmeiras; 6
Ceará; 6; Palmeiras; 3
Cruzeiro; 0; Palmeiras; 3
Atlético Mineiro; 4; São Paulo; 6
Internacional; 3; São Paulo; 0
Fluminense; 1; São Paulo; 4
Botafogo; 5; São Paulo; 1
Fortaleza; 4; São Paulo; 4
Bahia; 6; São Paulo; 0
Santos; 4; São Paulo; 0
Vasco da Gama; 6; São Paulo; 3
Mirassol; 0; São Paulo; 4
RB Bragantino; 3; São Paulo; 2
Grêmio; 4; São Paulo; 4
Juventude; 5; São Paulo; 5
Vitória; 1; São Paulo; 2
Sport; 2; São Paulo; 3
Ceará; 1; São Paulo; 1
Cruzeiro; 3; São Paulo; 0
Internacional; 5; Atlético Mineiro; 3
Fluminense; 2; Atlético Mineiro; 0
Botafogo; 2; Atlético Mineiro; 5
Fortaleza; 0; Atlético Mineiro; 5
Bahia; 3; Atlético Mineiro; 6
Santos; 6; Atlético Mineiro; 3
Vasco da Gama; 6; Atlético Mineiro; 5
Mirassol; 1; Atlético Mineiro; 1
RB Bragantino; 2; Atlético Mineiro; 4
Grêmio; 1; Atlético Mineiro; 5
Juventude; 6; Atlético Mineiro; 6
Vitória; 1; Atlético Mineiro; 1
Sport; 0; Atlético Mineiro; 5
Ceará; 2; Atlético Mineiro; 6
Cruzeiro; 2; Atlético Mineiro; 1
Fluminense; 6; Internacional; 5
Botafogo; 2; Internacional; 3
Fortaleza; 0; Internacional; 3
Bahia; 2; Internacional; 3
Santos; 0; Internacional; 0
Vasco da Gama; 0; Internacional; 5
Mirassol; 3; Internacional; 4
RB Bragantino; 0; Internacional; 4
Grêmio; 1; Internacional; 2
Juventude; 4; Internacional; 4
Vitória; 6; Internacional; 5
Sport; 3; Internacional; 6
Ceará; 4; Internacional; 3
Cruzeiro; 4; Internacional; 0
Botafogo; 1; Fluminense; 0
Fortaleza; 0; Fluminense; 2
Bahia; 3; Fluminense; 3
Santos; 2; Fluminense; 4
Vasco da Gama; 5; Fluminense; 6
Mirassol; 4; Fluminense; 0
RB Bragantino; 4; Fluminense; 6
Grêmio; 0; Fluminense; 4
Juventude; 5; Fluminense; 4
Vitória; 2; Fluminense; 3
Sport; 2; Fluminense; 6
Ceará; 6; Fluminense; 0
Cruzeiro; 6; Fluminense; 0
Fortaleza; 5; Botafogo; 3
Bahia; 1; Botafogo; 3
Santos; 4; Botafogo; 1
Vasco da Gama; 2; Botafogo; 1
Mirassol; 6; Botafogo; 0
RB Bragantino; 2; Botafogo; 5
Grêmio; 2; Botafogo; 4
Juventude; 2; Botafogo; 4
Vitória; 3; Botafogo; 6
Sport; 2; Botafogo; 1
Ceará; 5; Botafogo; 0
Cruzeiro; 3; Botafogo; 1
Bahia; 5; Fortaleza; 5
Santos; 2; Fortaleza; 1
Vasco da Gama; 3; Fortaleza; 2
Mirassol; 2; Fortaleza; 2
RB Bragantino; 1; Fortaleza; 1
Grêmio; 3; Fortaleza; 4
Juventude; 6; Fortaleza; 0
